text,label
"We must raise the minimum wage and expand public healthcare for all.",left
"Tax cuts for business will unleash growth and create jobs.",Right
"  Invest in public schools and protect workers' rights.",left
"Strong borders and law and order keep our nation safe.",right
"Universal childcare lifts families and grows the economy.",LEFT
"Free markets, not government, deliver prosperity.",right
"Green energy investment is the path to good union jobs.",left
"Cut red tape so small businesses can thrive.",Right
"Wealthy corporations should pay their fair share of tax.",left
"Traditional values and personal responsibility build strong communities.",right
"Expand social housing so everyone has a place to live.",Left
"Lower taxes and less regulation mean more freedom.",right
"Public transport should be affordable and well funded.",left
"A strong military keeps the peace and protects our interests.",right
"Protect the right to organize and bargain collectively.",left
"Reward enterprise and let people keep more of what they earn.",Right
"Guarantee paid family leave for every worker.",left
"Fiscal discipline today secures our children's future.",right
